ID,Title,US,Description,Estimation,Priority,Sprint,Status,Acceptance Criteria,DoD,Owner,Hours,Risk Notes
T-01,Inicializar repositorio Git,—,"Sin cambios sobre el T-01 original; repo base, README y .gitignore.",XS,P1,Sprint-0,READY,"RNF-08; repo inicial y sin secretos hardcodeados.","Repo creado, README mínimo y reglas base versionadas.",Jose Vilches Sánchez,1,none
T-02,Scaffold Vite + Vue 3 + TS,—,"Actualiza el T-02 original; sustituye React por Vue 3 + TS.",S,P1,Sprint-0,READY,"RNF-08; frontend arranca y compila con Vue.","frontend/ generado, HMR operativo y build verde.",Jose Vilches Sánchez,2,none
T-03,Configurar Tailwind CSS para Vue,—,"Actualiza el T-03 original para Vue y diseño tablet-first.",S,P1,Sprint-0,READY,"RNF-01; estilos base cargan en Vue.","Tailwind configurado, content paths correctos y hoja principal creada.",Jose Vilches Sánchez,2,none
T-04,Sistema base de componentes Tailwind/Atomic,—,"Reemplaza el T-04 original de shadcn/ui por atoms accesibles.",S,P1,Sprint-0,READY,"RNF-01; RNF-05; componentes táctiles y accesibles.","Button, Input, Card, Badge y Sheet/Drawer disponibles.",Jose Vilches Sánchez,2,none
T-05,Configurar ESLint + Prettier + Husky,—,"Amplía el T-05 original a frontend y api.",S,P1,Sprint-0,READY,"RNF-08; lint/formato automatizados.","Scripts, hooks y config compartida funcionando.",Jose Vilches Sánchez,2,none
T-06,Crear proyecto Firebase en región EU,—,"Reemplaza el T-06 original de Supabase por Firebase.",S,P1,Sprint-0,READY,"RNF-03; RNF-09; proyecto en región EU con Auth y Firestore habilitados.","Proyecto creado y región documentada.",Jose Vilches Sánchez,2,"medium: elección errónea de región rompe RGPD"
T-07,Configurar Firebase client SDK,—,"Reemplaza el T-07 original; frontend/src/lib/firebase.ts.",XS,P1,Sprint-0,READY,"US-01 CA-4; RNF-03; SDK inicializado vía env vars.","Cliente Firebase operativo sin credenciales hardcodeadas.",Jose Vilches Sánchez,1,none
T-09,Configurar GitHub Actions CI,—,"Actualiza el T-09 original para frontend/api/rules.",M,P1,Sprint-0,READY,"RNF-08; pipeline ejecuta lint, build y test.","Workflow verde en PR de prueba.",Jose Vilches Sánchez,4,"medium: mala orquestación ralentiza el feedback loop"
T-10,Estructura monorepo frontend/api/shared,—,"Actualiza el T-10 original a Vue + Express.",S,P1,Sprint-0,READY,"RNF-08; estructura refleja diseño aprobado.","Carpetas y scripts raíz documentados.",Jose Vilches Sánchez,2,none
T-11,Configurar Vue Router 4,—,"Reemplaza el T-11 original de React Router.",S,P1,Sprint-0,READY,"US-01 CA-3; US-02 CA-4; rutas base definidas.","Router con login, home, unauthorized y fallback.",Jose Vilches Sánchez,2,none
T-12,Configurar Pinia por dominio,—,"Reemplaza el T-12 original de TanStack Query.",S,P1,Sprint-0,READY,"RNF-08; stores base creados según diseño.","Pinia registrada y stores vacíos versionados.",Jose Vilches Sánchez,2,none
T-88,Evaluar Firebase Hosting vs opciones GCP,—,"Nuevo bloqueante; comparar opciones de ADR-04b sin elegir aún.",S,P1,Sprint-0,READY,"RNF-03; RNF-04; RNF-08; matriz coste/complejidad/seguridad completada.","Comparativa escrita y recomendación lista para decisión humana.",Jose Vilches Sánchez,2,"high: bloquea deploy y puede introducir coste no previsto"
T-89,TODO — Formalizar elección de hosting,—,"Nuevo bloqueante; registrar la decisión final en ADR-04b.",XS,P1,Sprint-0,READY,"RNF-03; RNF-04; RNF-08; ADR-04b actualizado por Jose.","Opción elegida documentada y dependencias de deploy desbloqueadas.",Jose Vilches Sánchez,1,"high: si no se decide, T-08 queda bloqueada"
T-90,Scaffold Express API wrapper,—,"Nuevo; crea api/ y la base del wrapper Express.",M,P1,Sprint-0,READY,"US-02 CA-4; RNF-08; API base arranca y expone healthcheck.","Express + Admin SDK + middlewares base operativos.",Jose Vilches Sánchez,4,"medium: si el scaffold no queda fino, el dominio se mezclará con infraestructura"
T-91,Configurar Firebase Emulator Suite,—,"Nuevo; emuladores y harness de Firestore Rules.",S,P1,Sprint-0,READY,"RNF-09; reglas testeables localmente con Auth/Firestore emulado.","Emuladores arrancan y suite mínima pasa.",Jose Vilches Sánchez,2,"high: sin esto no hay validación segura de Rules"
T-92,Integrar CI para Emulator + Rules,—,"Nuevo; job automático para tests de seguridad.",M,P1,Sprint-0,READY,"RNF-08; RNF-09; CI ejecuta rules tests en cada PR.","Job dedicado verde y resultados visibles.",Jose Vilches Sánchez,4,"high: sin CI los permisos pueden romperse sin detección"
T-08,Configurar deploy inicial tras decisión de hosting,—,"Actualiza y mueve el T-08 original desde Sprint-0; depende de T-89.",M,P1,Sprint-1,BACKLOG,"RNF-03; RNF-04; primer deploy accesible en plataforma elegida.","Entorno desplegado con HTTPS y variables configuradas.",Jose Vilches Sánchez,4,"high: depende totalmente de ADR-04b"
T-13,Pantalla de Login en Vue,US-01,"Actualiza el T-13 original con LoginView.vue.",M,P1,Sprint-1,BACKLOG,"US-01 CA-1; CA-2; formulario accesible y errores claros.","Vista implementada y validada en tablet/mobile.",Jose Vilches Sánchez,4,none
T-14,Integrar Firebase Auth (email/pass),US-01,"Reemplaza el T-14 original de Supabase Auth.",M,P1,Sprint-1,BACKLOG,"US-01 CA-3; CA-4; login correcto redirige y persiste sesión.","Flujo de auth real contra Firebase funciona.",Jose Vilches Sánchez,4,"medium: manejo de tokens/interceptores"
T-15,Logout y limpieza de sesión,US-01,"Actualiza el T-15 original con cierre seguro.",S,P1,Sprint-1,BACKLOG,"US-01 CA-5; logout invalida la sesión activa y limpia estado local.","Botón/logout funcional y tests básicos cubiertos.",Jose Vilches Sánchez,2,none
T-16,Persistencia de sesión con Pinia,US-01,"Reemplaza el T-16 original (AuthContext) por useAuthStore.",M,P1,Sprint-1,BACKLOG,"US-01 CA-4; sesión sincronizada con Firebase SDK.","Store auth reactiva, hidratada y usada por router/api.",Jose Vilches Sánchez,4,"medium: riesgo de estados inconsistentes entre SDK y store"
T-17,Colección usuarios + custom claims,US-02,"Reemplaza el T-17 original (profiles) por usuarios en Firestore.",M,P1,Sprint-1,BACKLOG,"US-02 CA-1; CA-3; roles existen en claims y Firestore.","Bootstrap de usuario y rol documentado y probado.",Jose Vilches Sánchez,4,"medium: claims y documento deben mantenerse coherentes"
T-18,Reglas Firestore + middleware Express RBAC,US-02,"Reemplaza el T-18 original de RLS por Auth + Rules + Express.",L,P1,Sprint-1,BACKLOG,"US-02 CA-1..CA-5; RNF-09; accesos permitidos/denegados según rol.","Rules, middleware y tests cubren casos positivos/negativos.",Jose Vilches Sánchez,8,"high: desalineación entre claims, Rules y API puede abrir fugas de datos"
T-19,Guards de navegación Vue Router,US-02,"Reemplaza el T-19 original (ProtectedRoute) por guards.",M,P1,Sprint-1,BACKLOG,"US-02 CA-4; rutas no autorizadas llevan a 403/login.","Guards por auth/rol funcionando con tests unitarios mínimos.",Jose Vilches Sánchez,4,none
T-20,Manejo de acceso no autorizado (403),US-02,"Mantiene el T-20 original adaptado a Vue.",S,P2,Sprint-1,BACKLOG,"US-02 CA-4; UI y API muestran 403 consistente.","Vista 403 creada y rutas enlazadas.",Jose Vilches Sánchez,2,none
T-21,Layout principal (AppShell),—,"Actualiza el T-21 original a Vue.",M,P1,Sprint-1,BACKLOG,"RNF-01; navegación usable en tablet/mobile.","Sidebar/navbar/rol visibles y responsive.",Jose Vilches Sánchez,4,none
T-22,Tema de diseño y tokens Tailwind,—,"Actualiza el T-22 original.",S,P2,Sprint-1,BACKLOG,"RNF-05; contraste y tipografía base definidos.","Tokens configurados y documentados.",Jose Vilches Sánchez,2,none
T-23,Página 404 Not Found,—,"Mantiene el T-23 original adaptado a Vue Router.",XS,P3,Sprint-1,BACKLOG,"RNF-01; rutas inexistentes muestran salida clara.","Fallback 404 enlazado y accesible.",Jose Vilches Sánchez,1,none
T-93,Diseñar mapeo Supabase → Firestore,—,"Nuevo; documenta equivalencias de entidades, IDs, auditoría y seeds.",M,P1,Sprint-1,BACKLOG,"G04; RNF-08; mapeo conserva nombres de SPEC/entities.md.","Documento de mapeo y plan de seeds/import listo para ejecución.",Jose Vilches Sánchez,4,"high: un mal mapeo rompe consistencia entre capas y datos demo"
T-24,Modelo Firestore tareas + seeds,US-03,"Reemplaza el T-24 original SQL por modelo Firestore.",M,P1,Sprint-2,BACKLOG,"US-03 CA-1; CA-2; tareas siguen SPEC/entities.md.","Estructura y seeds demo creados.",Jose Vilches Sánchez,4,"medium: la estructura condiciona consultas posteriores"
T-25,Firestore Rules para tareas,US-03,"Reemplaza el T-25 original de RLS por reglas owner/coordinador.",L,P1,Sprint-2,BACKLOG,"US-03; US-04; RNF-09; acceso permitido solo a asignado/coordinador.","Rules y tests positivos/negativos pasan en emulador.",Jose Vilches Sánchez,8,"high: reglas demasiado estrictas o laxas rompen agenda y seguridad"
T-26,Store agenda + servicio /api/tareas,US-03,"Reemplaza el T-26 original hook por Pinia + Axios.",M,P1,Sprint-2,BACKLOG,"US-03 CA-1; CA-5; agenda carga en <2s en condiciones normales.","Store consume endpoint y maneja loading/error.",Jose Vilches Sánchez,4,"medium: latencia del wrapper Express"
T-27,Vista Agenda Diaria,US-03,"Actualiza el T-27 original con AgendaDiariaView.vue.",M,P1,Sprint-2,BACKLOG,"US-03 CA-1..CA-4.","Lista cronológica, estados vacíos y responsive listos.",Jose Vilches Sánchez,4,none
T-28,Componente TaskCard,US-03,"Mantiene el T-28 original adaptado a Vue.",M,P1,Sprint-2,BACKLOG,"US-03 CA-2; CA-4.","Tarjeta táctil, accesible y reutilizable.",Jose Vilches Sánchez,4,none
T-29,Highlight de tareas vencidas,US-03,"Mantiene el T-29 original.",S,P1,Sprint-2,BACKLOG,"US-03 CA-3.","Tarea vencida se resalta con contraste válido.",Jose Vilches Sánchez,2,none
T-30,Estrategia de refresh de agenda,US-03,"Reemplaza el T-30 original de realtime por refresh controlado.",S,P2,Sprint-2,BACKLOG,"US-03 CA-5; cambios se reflejan sin recargar toda la app.","Polling/refetch documentado y activo.",Jose Vilches Sánchez,2,"medium: equilibrio entre frescura y coste/latencia"
T-31,Sheet para actualizar estado de tarea,US-04,"Mantiene el T-31 original adaptado a Vue.",M,P1,Sprint-2,BACKLOG,"US-04 CA-1; CA-5.","Sheet táctil con acciones y CTA a incidencia.",Jose Vilches Sánchez,4,none
